Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
Harbour1,DSC_1653.NEF,-1.0013782558211348,0.0025838619089977245,4279.29593511139,0.0077837322485688355,-0.9896355783447364,3023.378727289614,-1.4497036730798328e-06,6.2532189420372305e-06,0.9999999999999999
Harbour1,DSC_1656.NEF,-1.0027635662951888,0.009747829140536714,4277.979169396203,0.007680505361530877,-0.9841745880422899,3025.402205273303,-1.2279082468389588e-06,8.268207012298514e-06,0.9999999999999999
Harbour1,DSC_1657.NEF,-1.0011075382695724,0.00435174269100245,4281.048494540455,0.010619153632253246,-0.9877189281094673,3028.943925143398,-4.529696160610125e-07,7.170206175202102e-06,0.9999999999999999
Harbour1,DSC_1658.NEF,-0.9990891839278337,0.00239853818150623,4281.0090201614485,0.01219994609494056,-0.9888503216418426,3019.4302232767222,-2.1125638946392497e-08,6.332636836500806e-06,1.0
Harbour1,DSC_1661.NEF,-1.0231831020912485,0.0073097452220869585,4269.5782371889745,-0.00952523771628062,-0.9783073192529156,3030.2555998723014,-9.603885932835557e-06,7.674106967738611e-06,1.0
Harbour1,DSC_1669.NEF,-1.0030089329375658,0.0067899740310830145,4282.3080684183,0.008005864021658681,-0.9864458174085821,3027.353884877491,-1.3564608452145899e-06,7.36911516842263e-06,1.0
Harbour1,DSC_1670.NEF,-1.003496852532639,0.005791721256451649,4281.61650262786,0.006299745292771539,-0.9871714080131793,3027.3032206963894,-1.89267760311404e-06,7.026265224872374e-06,1.0
Harbour1,DSC_1671.NEF,-1.0003953786719881,0.0024054876746491204,4282.306791816539,0.008399118934152908,-0.9897141001795784,3031.8705346789684,-3.544507013401497e-07,5.822180260606224e-06,1.0
Harbour1,DSC_1672.NEF,-1.0012331690461562,0.004272471555886225,4283.049888835123,0.009382158258920565,-0.9900547331755702,3032.7991301422476,-5.072891482960499e-07,6.453117318584864e-06,1.0
Harbour1,DSC_1673.NEF,-1.0031362545980418,0.0090466396696728,4284.22015899811,0.007907089091774405,-0.9866192997350948,3030.628923742275,-1.0878514535751461e-06,7.92438981757267e-06,1.0
Harbour1,DSC_1674.NEF,-1.0045015792596077,0.007939618338644627,4281.723459338959,0.006156034251051024,-0.9866508240520719,3028.5898064396238,-2.096282816566755e-06,7.657314554562815e-06,1.0
Harbour1,DSC_1677.NEF,-1.0037137483373457,0.004216349812279283,4282.290156180342,0.005165774374987672,-0.9867980311083568,3024.9712465315897,-2.404742837639988e-06,6.706378588650609e-06,1.0
